PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
224772860,20071301,99,2020-04-15T17:30:00,"5100 Block Chaplain Way Pittsburgh, PA 15207",N,Hazelwood,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1501,,,0,0
224782036,20071473,10,2020-04-15T23:38:00,"2900 Block California Ave Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2715,1,1,-80.03594307,40.46999786
224928729,20072998,99,2020-04-18T15:40:00,"S Frick Park Pittsburgh, PA 15221",N,Regent Square,4,FOUND PROPERTY,9489 Found Property,1410,,,0,0
224901829,20072528,14,2020-04-17T18:15:00,"1800 Block Arlington Ave Pittsburgh, PA 15210",N,Arlington,3,CRIM MISCHIEF,3304 Criminal Mischief.,1603,,,-79.98256754,40.41751466
224921089,20072791,6,2020-04-17T13:01:00,"5600 Block Baum Blvd Pittsburgh, PA 15232",N,Friendship,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 4106 Access Device Fraud,807,7,2,-79.93533068,40.45771691
224922704,20072830,6,2020-04-17T20:49:00,"400 Block Orchard Pl Pittsburgh, PA 15210",N,Knoxville,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,3001,3,5,-79.99555994,40.41774809
224922839,20072859,14,2020-04-14T11:00:00,"3800 Block Butler St Pittsburgh, PA 15201",N,Lower Lawrenceville,2,CRIM MISCHIEF,3304 Criminal Mischief.,603,7,2,-79.964047,40.46678062
224938198,20073257,14,2020-04-19T01:55:00,"30 Block Rosselle Dr Pittsburgh, PA 15207",N,Glen Hazel,4,CRIM MISCHIEF,3304 Criminal Mischief.,1504,5,3,-79.9320328,40.4069788
224895458,20072436,99,2020-04-17T16:18:00,"2000 Block Wyandotte St Pittsburgh, PA 15219",N,Crawford-Roberts,2,AIDED CASE,9497 Aided Case,305,6,3,-79.97759791,40.43826361
224922850,20072771,0,2020-04-18T11:30:00,"200 Block Sterling St Pittsburgh, PA 15210",Y,Arlington,3,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment,1603,3,3,-79.97476787,40.4158556
